key,value
Residence Home,10227
Highway/Alley/Street/Sidewalk,5752
Parking Garage/Lot,2085
Grocery Store,1064
Convenience Store,1028
Department/Discount Store,1015
Specialty Store,840
Unknown,751
Drug Store/Doctors Office/Hospital,680
Hotel/Motel,610
Park/Playground,534
Gas Station,462
Commercial/Office Building,461
Restaurant,443
Bar/Nightclub,249
Bank,238
Air/Bus/Train Terminal,191
Jail/Prison/Corrections Facility,182
School Elementary/Secondary,173
Shopping Mall,152
Field/Woods,150
Mission/Homeless Shelter,128
Government/Public Building,113
Campground,106
School College/University,47
Church/Synagogue/Temple/Mosque,41
Liquor Store,37
School/College,33
Gambling Facility/Casino/Race Track,32
Rental Storage Facility,31
Community Center,30
Tribal Lands,29
Lake/Waterway/Beach,22
Construction Site,20
Daycare Facility,18
Farm Facility,18
Arena/Stadium/Fairgrounds,14
ATM Separate From Bank,14
Auto Dealership,14
Dock/Wharf/Shipping Terminal,9
Industrial Site,9
Amusement Park,4
Rest Area,3
Abandoned Condemned/Structure,2
Cyberspace,0
Military Base,0
