key,value
Destruction/Damage/Vandalism of Property,1577
Simple Assault,676
Weapon Law Violations,504
Burglary/Breaking & Entering,427
Kidnapping/Abduction,425
All Other Larceny,228
Stolen Property Offenses,160
Intimidation,159
Drug/Narcotic Violations,159
Aggravated Assault,153
Motor Vehicle Theft,143
Robbery,137
Shoplifting,129
Theft from Motor Vehicle,70
Drug Equipment Violations,58
Theft From Building,48
Sodomy,38
Arson,37
Fondling,35
Bribery,35
Murder and Nonnegligent Manslaughter,35
Theft of Motor Vehicle Parts or Accessories,20
Animal Cruelty,16
Credit Card/Automated Teller Machine Fraud,14
Impersonation,12
Pornography/Obscene Material,11
Sexual Assault with an Object,10
Purse-snatching,9
Counterfeiting/Forgery,8
Extortion/Blackmail,6
False Pretenses/Swindle/Confidence game,6
Identity Theft,5
Prostitution,5
Human Trafficking, Commercial Sex Acts,5
Assisting or Promoting Prostitution,4
Statutory Rape,3
Purchasing Prostitution,3
Negligent Manslaughter,2
Wire Fraud,1
Human Trafficking, Involuntary Servitude,1
Pocket-Picking,0
Welfare Fraud,0
Theft from Coin-operated Machine or Device,0
Gambling Equipment Violation,0
Incest,0
Operating/Promoting/Assisting Gambling,0
Hacking/Computer Invasion,0
Sports Tampering,0
Betting/Wagering,0
Embezzlement,0
